행정구역별,연도,출산율
강원도,2008,1.253
강원도,2009,1.248
강원도,2010,1.313
강원도,2011,1.338
강원도,2012,1.374
강원도,2013,1.249
강원도,2014,1.248
강원도,2015,1.311
강원도,2016,1.237
강원도,2017,1.123
강원도,2018,1.067
강원도,2019,1.082
강원도,2020,1.036
경기도,2008,1.285
경기도,2009,1.226
경기도,2010,1.309
경기도,2011,1.314
경기도,2012,1.355
경기도,2013,1.226
경기도,2014,1.241
경기도,2015,1.272
경기도,2016,1.194
경기도,2017,1.069
경기도,2018,1.002
경기도,2019,0.943
경기도,2020,0.878
경상남도,2008,1.368
경상남도,2009,1.323
경상남도,2010,1.413
경상남도,2011,1.446
경상남도,2012,1.503
경상남도,2013,1.367
경상남도,2014,1.409
경상남도,2015,1.437
경상남도,2016,1.358
경상남도,2017,1.227
경상남도,2018,1.122
경상남도,2019,1.046
경상남도,2020,0.945
경상북도,2008,1.313
경상북도,2009,1.274
경상북도,2010,1.377
경상북도,2011,1.434
경상북도,2012,1.489
경상북도,2013,1.379
경상북도,2014,1.408
경상북도,2015,1.464
경상북도,2016,1.396
경상북도,2017,1.256
경상북도,2018,1.167
경상북도,2019,1.089
경상북도,2020,1.003
광주광역시,2008,1.198
광주광역시,2009,1.137
광주광역시,2010,1.223
광주광역시,2011,1.234
광주광역시,2012,1.295
광주광역시,2013,1.170
광주광역시,2014,1.199
광주광역시,2015,1.207
광주광역시,2016,1.168
광주광역시,2017,1.053
광주광역시,2018,0.972
광주광역시,2019,0.913
광주광역시,2020,0.811
대구광역시,2008,1.072
대구광역시,2009,1.029
대구광역시,2010,1.109
대구광역시,2011,1.146
대구광역시,2012,1.217
대구광역시,2013,1.127
대구광역시,2014,1.169
대구광역시,2015,1.216
대구광역시,2016,1.186
대구광역시,2017,1.067
대구광역시,2018,0.987
대구광역시,2019,0.932
대구광역시,2020,0.807
대전광역시,2008,1.215
대전광역시,2009,1.156
대전광역시,2010,1.205
대전광역시,2011,1.261
대전광역시,2012,1.315
대전광역시,2013,1.234
대전광역시,2014,1.250
대전광역시,2015,1.277
대전광역시,2016,1.192
대전광역시,2017,1.075
대전광역시,2018,0.952
대전광역시,2019,0.883
대전광역시,2020,0.805
부산광역시,2008,0.980
부산광역시,2009,0.940
부산광역시,2010,1.045
부산광역시,2011,1.078
부산광역시,2012,1.135
부산광역시,2013,1.049
부산광역시,2014,1.090
부산광역시,2015,1.139
부산광역시,2016,1.095
부산광역시,2017,0.976
부산광역시,2018,0.899
부산광역시,2019,0.827
부산광역시,2020,0.747
서울특별시,2008,1.010
서울특별시,2009,0.962
서울특별시,2010,1.015
서울특별시,2011,1.014
서울특별시,2012,1.059
서울특별시,2013,0.968
서울특별시,2014,0.983
서울특별시,2015,1.001
서울특별시,2016,0.940
서울특별시,2017,0.836
서울특별시,2018,0.761
서울특별시,2019,0.717
서울특별시,2020,0.642
세종특별자치시,2008,-
세종특별자치시,2009,-
세종특별자치시,2010,-
세종특별자치시,2011,-
세종특별자치시,2012,1.597
세종특별자치시,2013,1.435
세종특별자치시,2014,1.354
세종특별자치시,2015,1.893
세종특별자치시,2016,1.821
세종특별자치시,2017,1.668
세종특별자치시,2018,1.566
세종특별자치시,2019,1.472
세종특별자치시,2020,1.277
울산광역시,2008,1.338
울산광역시,2009,1.308
울산광역시,2010,1.369
울산광역시,2011,1.393
울산광역시,2012,1.481
울산광역시,2013,1.391
울산광역시,2014,1.437
울산광역시,2015,1.486
울산광역시,2016,1.418
울산광역시,2017,1.261
울산광역시,2018,1.131
울산광역시,2019,1.084
울산광역시,2020,0.984
인천광역시,2008,1.186
인천광역시,2009,1.143
인천광역시,2010,1.214
인천광역시,2011,1.232
인천광역시,2012,1.301
인천광역시,2013,1.195
인천광역시,2014,1.212
인천광역시,2015,1.216
인천광역시,2016,1.144
인천광역시,2017,1.007
인천광역시,2018,1.006
인천광역시,2019,0.940
인천광역시,2020,0.829
전국,2008,1.192
전국,2009,1.149
전국,2010,1.226
전국,2011,1.244
전국,2012,1.297
전국,2013,1.187
전국,2014,1.205
전국,2015,1.239
전국,2016,1.172
전국,2017,1.052
전국,2018,0.977
전국,2019,0.918
전국,2020,0.837
전라남도,2008,1.449
전라남도,2009,1.445
전라남도,2010,1.537
전라남도,2011,1.568
전라남도,2012,1.642
전라남도,2013,1.518
전라남도,2014,1.497
전라남도,2015,1.549
전라남도,2016,1.466
전라남도,2017,1.325
전라남도,2018,1.240
전라남도,2019,1.234
전라남도,2020,1.145
전라북도,2008,1.305
전라북도,2009,1.279
전라북도,2010,1.374
전라북도,2011,1.405
전라북도,2012,1.440
전라북도,2013,1.320
전라북도,2014,1.329
전라북도,2015,1.352
전라북도,2016,1.251
전라북도,2017,1.151
전라북도,2018,1.044
전라북도,2019,0.971
전라북도,2020,0.909
제주특별자치도,2008,1.386
제주특별자치도,2009,1.378
제주특별자치도,2010,1.463
제주특별자치도,2011,1.487
제주특별자치도,2012,1.598
제주특별자치도,2013,1.427
제주특별자치도,2014,1.481
제주특별자치도,2015,1.477
제주특별자치도,2016,1.432
제주특별자치도,2017,1.305
제주특별자치도,2018,1.220
제주특별자치도,2019,1.145
제주특별자치도,2020,1.021
충청남도,2008,1.444
충청남도,2009,1.408
충청남도,2010,1.479
충청남도,2011,1.496
충청남도,2012,1.571
충청남도,2013,1.442
충청남도,2014,1.421
충청남도,2015,1.480
충청남도,2016,1.395
충청남도,2017,1.276
충청남도,2018,1.186
충청남도,2019,1.112
충청남도,2020,1.029
충청북도,2008,1.319
충청북도,2009,1.317
충청북도,2010,1.402
충청북도,2011,1.428
충청북도,2012,1.485
충청북도,2013,1.365
충청북도,2014,1.363
충청북도,2015,1.414
충청북도,2016,1.358
충청북도,2017,1.235
충청북도,2018,1.172
충청북도,2019,1.050
충청북도,2020,0.983
